nome,sobrenome,idade,sexo,compra,ano,pagamento
Bernardo,Soares,55,M,1917,2006,debito
Maria,Ferreira,20,F,7204,2005,dinheiro
Sophia,Santos,37,F,7857,2006,credito
Heloisa,Ferreira,58,F,7169,2010,debito
Alice,Ferreira,49,F,3153,2007,dinheiro
Helena,Pereira,38,F,745,2018,dinheiro
Samuel,Ribeiro,29,M,9749,2010,dinheiro
Samuel,Rodrigues,24,M,571,2019,credito
Heloisa,Oliveira,50,F,7852,2008,debito
Laura,Maia,37,F,7502,2009,debito
Heitor,Martins,34,M,1203,2005,debito
Heitor,Maia,21,M,9935,2015,credito
Heloisa,Pereira,59,F,8760,2011,dinheiro
Arthur,Pereira,28,M,8476,2012,credito
Miguel,Pereira,34,M,2679,2017,dinheiro
Davi,Soares,41,M,8578,2006,debito
Helena,Maia,23,F,3926,2012,dinheiro
Theo,Pereira,39,M,549,2005,debito
Maria,Maia,31,F,3734,2016,credito
Gael,Souza,35,M,718,2014,dinheiro
Valentina,Ribeiro,63,F,2030,2014,credito
Theo,Pereira,58,M,5386,2007,credito
Gael,Maia,20,M,1917,2006,credito
Samuel,Rodrigues,67,M,3244,2020,debito
Maria,Maia,47,F,7854,2007,dinheiro
Gael,Soares,53,M,3755,2005,dinheiro
Helena,Soares,46,F,7272,2017,dinheiro
Arthur,Ribeiro,35,M,5648,2017,credito
Maria,Oliveira,22,F,6444,2018,dinheiro
Heloisa,Soares,50,F,4756,2015,dinheiro
Theo,Pereira,62,M,5840,2015,dinheiro
Maria,Alves,50,F,6003,2017,credito
Heloisa,Souza,37,F,3089,2017,credito
Alice,Maia,27,F,6521,2010,dinheiro
Maria,Maia,39,F,5022,2013,dinheiro
Helena,Ribeiro,32,F,7571,2009,credito
Gabriel,Martins,29,M,5145,2008,debito
Maria,Silva,20,F,7016,2008,credito
Bernardo,Alves,46,M,3173,2013,dinheiro
Heloisa,Alves,43,F,1944,2016,credito
Sophia,Rodrigues,22,F,2627,2010,credito
Sophia,Soares,26,F,3032,2005,credito
Laura,Gomes,69,F,8813,2005,debito
Heitor,Soares,29,M,9578,2020,debito
Laura,Pereira,61,F,7595,2019,credito
